termo,tfidf_sum
verde,8.521728332166607
encantar,8.518773593582871
desconhecer,8.440151017223021
distance,8.377911686126813
arbaziloth,8.329859105850332
33,8.322795040857518
42,8.310990191477297
tapestry,8.280855980618316
46,8.27491776199562
17 00,8.244553046511914
encantar equipamento,8.212947130180975
equipamento imbuement,8.212947130180975
50 encantar,8.212947130180975
dwarf,8.203401005049558
distance fighting,8.127531623384854
48,8.078744519241305
necklace,8.078004799928788
item,8.029380456095799
400,8.029005138468772
heart,7.862973553492382
quest,7.82153905590448
29,7.8201046806071535
44,7.8163008232297635
holy,7.779204061096915
12 50,7.753491494024837
zaoan,7.693637250883726
falcon,7.631834993805325
devourer,7.600141650264027
lizard,7.530478279679872
renegade,7.51972693333708
16 00,7.495712940594619
faun,7.486948910072166
speed,7.376178086444424
00 fist,7.374595954688613
beast,7.291293184370151
elf,7.282391584550952
mask,7.272396986934277
knights physical,7.244178948621029
37,7.208355345586774
white,7.19579710824481
mage,7.191483913442192
serpent,7.17342831769503
dread,7.173290575228136
santa,7.061599660219941
cyclop,7.052783005713459
armor,7.046460495366196
worm,7.042571611380648
figurine,7.029770920741836
300 knights,7.024434464553677
purple,7.0227683397930525
pillow,7.015443302503103
cake 00,7.010197756952492
luz verde,6.998757306536741
barbarian,6.984510898628907
52,6.926507721859511
doll réplicar,6.903195402759837
grand,6.87378620311785
magma,6.827576048432895
shaper,6.827232001214923
use fornecer,6.734865987241546
inferniarch,6.723508619129473
32 00,6.715270873073159
crown,6.674524156895929
dano,6.674222373379652
key 00,6.671770658201098
malice,6.656630559359526
present,6.6401269807395575
rodr,6.639834800721733
50 00,6.606039979028051
obter,6.594321285879326
king,6.576127669632795
guardian,6.574162122940074
gladiator,6.538311289021165
midnight,6.521642456936436
skeleton,6.521224606297228
05,6.507328554064549
tapestry 10,6.5061975717858695
christma,6.505648443441524
golden rune,6.4923155840782245
map,6.477119342830273
85,6.469782387179608
24 00,6.463448080551875
spectre,6.460030202610931
nota,6.453735282322385
silver rune,6.447580736121576
elite,6.415160317405882
statue,6.413976539337447
horror,6.401512629949545
270,6.352378409224548
asura,6.344764096102386
plushie,6.314442914862519
witch,6.313749173941648
hora,6.307114118308668
00 desconhecer,6.30612342128322
horn,6.2919187336071705
00 ancient,6.2889950380370285
egg,6.280464536718427
frozen,6.272150568294121
assassin,6.270943223428579
firar,6.253276177152879
frazzlemaw,6.252121763603199
00 domar,6.229159791974209
réplico,6.21914769093855
jade,6.194320080275139
letter,6.193158381026688
servant,6.178347441031113
hammer,6.16777890327263
rotrender,6.167270062530979
skull,6.153761685585166
00 ferumbra,6.124136945160306
musical,6.107107441327836
eldritch,6.104254316171317
izcandar,6.096781218347951
token 00,6.087475205375636
34,6.0787099165257334
51,6.077424548910659
hunter,6.076858223445224
piecer,6.06014370164526
200 knights,6.045458364928592
plushie of,5.966297084154288
undead,5.963956843915893
mutated,5.960214728874607
